news_id,date,stock,name,sector,language,headline,content,event_type,true_label
N000853,2025-09-24,POWERGRID,Power Grid Company of Bangladesh,Power,en,Power Grid Company of Bangladesh secures central bank approval for new product,Power Grid Company of Bangladesh secured Bangladesh Bank approval to launch a new product in the power segment. The clearance comes after a year-long review process and the company plans a phased rollout beginning next month.,regulatory,positive
N000089,2022-03-04,BRACBANK,BRAC Bank Limited,Bank,bn,BRAC Bank Limited এর সিইও ঋণ জালিয়াতিতে গ্রেফতার,BRAC Bank Limited এর সিইও ঋণ জালিয়াতিতে গ্রেফতার,scandal,negative
N000228,2019-05-15,EBL,Eastern Bank PLC,Bank,bn,Eastern Bank PLC দক্ষিণ এশিয়ার বৃহত্তম সৌর বিদ্যুৎ কেন্দ্র চালু করেছে,Eastern Bank PLC দক্ষিণ এশিয়ার বৃহত্তম সৌর বিদ্যুৎ কেন্দ্র চালু করেছে,expansion,positive
N000731,2011-07-26,GP,Grameenphone Limited,Telecom,en,Grameenphone Limited cuts dividend by 12% to preserve capital,"Grameenphone Limited will not declare a dividend this year, the board announced, citing a 30% decline in profitability and the need to preserve capital. Shareholders reacted cautiously and the stock slipped on the news.",dividend,negative
N000487,2025-08-22,SIBL,Social Islami Bank Limited,Bank,bn,Social Islami Bank Limited দক্ষিণ এশিয়ার বৃহত্তম সৌর বিদ্যুৎ কেন্দ্র চালু করেছে,Social Islami Bank Limited দক্ষিণ এশিয়ার বৃহত্তম সৌর বিদ্যুৎ কেন্দ্র চালু করেছে,expansion,positive
N000930,2011-03-23,SUMITPOWER,Summit Power International,Power,bn,বাংলাদেশ বাজেটে নতুন কর ব্যবস্থা,বাংলাদেশ বাজেটে নতুন কর ব্যবস্থা,macro,neutral
N000956,2012-08-24,HEIDELBCEM,Heidelberg Cement Bangladesh,Cement,en,Taka strengthens against US dollar on export growth,DSEX crossed the 800 mark today on a broad-based rally led by bank and pharma stocks. Analysts said positive macro indicators including remittance growth and contained inflation have boosted investor confidence.,macro,positive
N000758,2023-01-26,BSCCL,Bangladesh Submarine Cable Company,Telecom,bn,Bangladesh Submarine Cable Company লভ্যাংশের রেকর্ড তারিখ নির্ধারণ করেছে,Bangladesh Submarine Cable Company লভ্যাংশের রেকর্ড তারিখ নির্ধারণ করেছে,dividend,neutral
N000659,2013-10-28,BEXPHARMA,BEXIMCO Pharmaceuticals,Pharma,bn,BEXIMCO Pharmaceuticals দুটি কারখানা বন্ধ করেছে,BEXIMCO Pharmaceuticals দুটি কারখানা বন্ধ করেছে,expansion,negative
N000918,2024-04-14,SUMITPOWER,Summit Power International,Power,en,Summit Power International signs MoU for new production line,"Summit Power International unveiled plans to invest Tk300 crore in a new power facility expected to create 200 jobs. The project, financed through a mix of retained earnings and bank loans, is slated for commissioning within 18 months.",expansion,positive
